sea_state,vessel_load,port_congestion,engine_efficiency,crew_experience,route_distance_nm,voyage_disruption,extra_fuel_cost_usd
Moderate,Medium,Medium,100,Low,3183,1,31571.61
Moderate,Medium,Medium,82,Experienced,2998,0,9385.25
Moderate,Medium,Low,82,Low,504,0,1936.7
Calm,Medium,Low,76,Experienced,2728,0,10841.01
Calm,Light,Low,96,Low,3444,0,11900.99
Moderate,Heavy,Low,79,Experienced,1399,0,3836.7
Calm,Medium,Low,71,Low,376,0,1450.9
Calm,Light,High,73,Experienced,1115,0,3650.92
Moderate,Medium,Medium,94,Experienced,1067,0,2913.58
Calm,Medium,Medium,75,Low,2757,1,35344.85
Rough,Heavy,Medium,93,Experienced,405,0,1472.66
Rough,Heavy,Medium,87,Low,2898,1,23184.66
Rough,Heavy,Medium,92,Low,3173,1,21109.1
Calm,Light,Medium,75,Experienced,2435,0,6819.24
Calm,Medium,Medium,98,Low,2046,0,5762.58
Rough,Medium,Low,99,Experienced,3228,0,11402.71
Calm,Light,Medium,94,Experienced,3448,0,9756.41
Rough,Light,Medium,92,Experienced,3448,0,10888.81
Rough,Heavy,High,86,Low,1765,1,25086.66
Rough,Light,Medium,83,Experienced,2887,0,10612.41
Calm,Medium,Medium,93,Experienced,544,0,1729.86
Calm,Light,Low,80,Low,2925,0,10788.23
Rough,Light,Medium,95,Experienced,1705,0,6407.28
Calm,Light,Low,100,Low,1281,0,4460.65
Calm,Heavy,Low,88,Experienced,3064,0,8709.85
Moderate,Heavy,Low,99,Low,2036,0,5926.83
Rough,Heavy,Medium,71,Experienced,441,1,12356.82
Moderate,Medium,Low,97,Experienced,1192,0,3188.85
Moderate,Light,Low,72,Low,1691,0,4920.37
Calm,Medium,High,80,Low,3455,1,26143.73
Moderate,Medium,Low,75,Experienced,2699,0,8590.9
Rough,Heavy,Medium,98,Experienced,844,0,3260.08
Calm,Light,Medium,83,Low,3260,0,8660.91
Moderate,Medium,Low,88,Low,2499,0,8947.42
Rough,Light,High,95,Experienced,1769,0,6246.21
Moderate,Medium,Low,85,Experienced,3000,0,7930.89
Moderate,Heavy,Medium,90,Experienced,3305,1,36629.51
Moderate,Medium,Medium,91,Experienced,1062,0,3560.58
Calm,Medium,Medium,93,Low,923,0,2811.08
Calm,Medium,Medium,76,Experienced,955,0,3471.24
Moderate,Medium,Low,99,Experienced,2797,0,8072.28
Moderate,Heavy,Low,96,Low,3068,1,23761.14
Rough,Heavy,Medium,77,Experienced,1547,1,14684.9
Rough,Heavy,Medium,88,Experienced,342,1,18542.65
Moderate,Heavy,High,89,Low,2611,1,25332.04
Moderate,Medium,High,85,Experienced,1326,0,4581.38
Moderate,Medium,High,91,Low,1960,1,25420.1
Moderate,Medium,Medium,96,Experienced,1591,0,5593.34
Moderate,Light,Low,76,Experienced,895,0,3274.23
Moderate,Heavy,High,78,Low,3387,1,26852.05
Rough,Light,Medium,82,Experienced,3430,1,31998.69
Calm,Heavy,Low,70,Experienced,1312,0,4178.05
Calm,Medium,High,98,Experienced,2524,0,9695.03
Calm,Medium,High,100,Experienced,2410,0,7824.8
Moderate,Medium,Medium,77,Experienced,1257,0,4729.73
Calm,Heavy,Low,93,Experienced,3350,0,12401.79
Calm,Medium,Low,91,Experienced,860,0,2679.55
Moderate,Medium,High,73,Experienced,1630,1,13908.24
Calm,Light,High,72,Low,1612,1,20843.55
Moderate,Medium,Low,96,Experienced,2121,0,7931.11
Calm,Light,Low,72,Experienced,3302,0,9382.46
Calm,Heavy,High,91,Experienced,1850,0,6080.31
Moderate,Medium,Low,82,Experienced,1149,0,4261.81
Calm,Medium,Medium,77,Experienced,1578,0,4781.68
Calm,Light,High,76,Experienced,2951,0,10220.24
Moderate,Light,Low,96,Low,1833,0,5257.86
Moderate,Heavy,Medium,70,Low,2114,1,27991.58
Calm,Light,Low,96,Experienced,2041,0,7534.51
Moderate,Light,Low,85,Low,905,0,2396.85
Calm,Light,High,75,Low,3177,1,28017.9
Calm,Heavy,Medium,76,Low,1786,1,27921.95
Moderate,Heavy,High,81,Experienced,1594,1,13387.82
Moderate,Medium,Medium,92,Experienced,1045,0,4137.75
Moderate,Light,Low,78,Experienced,857,0,3401.95
Moderate,Medium,Low,96,Experienced,2411,0,6997.72
Rough,Heavy,Low,80,Low,1241,1,17094.25
Moderate,Medium,Low,79,Experienced,2596,0,9235.52
Calm,Light,Low,90,Experienced,1569,0,4983.9
Moderate,Light,Low,70,Experienced,1239,0,3284.75
Calm,Light,Medium,87,Low,1910,0,6802.05
Calm,Medium,Medium,100,Low,2504,0,6377.09
Calm,Heavy,Medium,73,Low,3082,1,27722.15
Calm,Light,Medium,74,Experienced,2025,0,5483.66
Rough,Light,Low,78,Experienced,1284,0,3455.2
Moderate,Light,Low,96,Experienced,1887,0,5214.74
Moderate,Heavy,Medium,100,Experienced,3459,0,13629.84
Calm,Light,Medium,86,Experienced,1636,0,5791.04
Calm,Heavy,Low,72,Experienced,2174,0,8048.27
Calm,Medium,High,85,Low,3437,1,32696.88
Calm,Medium,High,74,Experienced,961,0,2887.29
Moderate,Light,Medium,85,Experienced,3391,0,9670.2
Moderate,Light,Low,72,Low,332,0,1069.36
Moderate,Medium,High,89,Experienced,2116,0,7041.5
Calm,Heavy,Medium,84,Experienced,2905,0,10015.46
Rough,Medium,High,99,Experienced,2420,1,16211.96
Moderate,Medium,High,72,Experienced,2189,1,28329.32
Moderate,Light,High,89,Experienced,3172,0,8737.71
Moderate,Heavy,Medium,83,Experienced,1456,0,5748.99
Calm,Heavy,Low,100,Low,3426,0,8641.35
Calm,Light,Medium,85,Low,360,0,1159.81
Calm,Heavy,Medium,98,Low,1843,0,5529.1
Moderate,Medium,Medium,98,Experienced,571,0,1812.17
Calm,Medium,Low,100,Low,2593,0,8702.1
Calm,Heavy,Low,100,Low,1499,0,4726.92
Calm,Heavy,High,86,Low,2975,1,19029.46
Calm,Medium,Medium,97,Experienced,2106,0,7579.67
Rough,Light,High,93,Experienced,3052,1,19642.63
Moderate,Medium,High,89,Experienced,3009,1,25746.02
Calm,Heavy,Medium,92,Experienced,1454,0,4180.16
Calm,Light,Medium,87,Experienced,1425,0,4865.37
Calm,Medium,High,87,Experienced,609,0,2057.08
Calm,Medium,Medium,91,Experienced,1615,0,4933.19
Calm,Medium,Medium,83,Experienced,2045,0,6603.48
Calm,Medium,Low,87,Low,2842,0,8442.65
Calm,Heavy,Medium,84,Experienced,637,0,1728.03
Moderate,Light,Medium,84,Experienced,2926,0,8253.37
Moderate,Light,Low,75,Experienced,309,0,821.41
Calm,Light,Low,96,Experienced,348,0,1226.56
Calm,Heavy,Low,84,Low,1810,0,6318.87
Moderate,Medium,Low,87,Low,2970,0,11659.95
Moderate,Light,Low,73,Experienced,1644,0,5909.39
Rough,Heavy,Medium,92,Low,1030,1,16700.98
Moderate,Heavy,High,77,Experienced,1094,1,25633.12
Calm,Heavy,Medium,84,Experienced,3318,0,12588.53
Calm,Heavy,Low,72,Experienced,1948,0,6165.38
Moderate,Light,Low,99,Experienced,432,0,1459.64
Calm,Heavy,Medium,84,Experienced,2430,0,9632.81
Moderate,Medium,Low,82,Experienced,2404,0,7929.49
Rough,Heavy,High,78,Experienced,675,1,16987.61
Moderate,Heavy,Medium,71,Experienced,2696,1,23537.67
Calm,Heavy,High,93,Experienced,570,0,1588.35
Moderate,Medium,Low,77,Experienced,1806,0,5709.01
Calm,Light,Medium,98,Low,2458,0,8301.0
Moderate,Medium,Low,99,Experienced,3216,0,11977.48
Rough,Heavy,High,89,Experienced,3234,1,34011.52
Calm,Heavy,Medium,86,Experienced,375,0,1156.23
Rough,Light,Low,82,Low,2256,1,14546.83
Rough,Light,Low,70,Experienced,1966,0,7277.65
Calm,Light,Low,71,Low,628,0,2139.33
Calm,Heavy,Medium,99,Low,2469,1,28742.9
Calm,Heavy,Low,84,Experienced,340,0,1102.36
Calm,Light,Medium,81,Experienced,1490,0,5384.06
Calm,Medium,Low,83,Low,3269,0,11950.21
Moderate,Heavy,Medium,94,Experienced,2989,0,9712.54
Calm,Heavy,High,98,Experienced,3394,1,22225.45
Calm,Medium,High,71,Experienced,2626,0,10400.57
Moderate,Medium,High,87,Low,3110,1,20643.9
Calm,Medium,Low,91,Experienced,2816,0,8764.4
Moderate,Light,Low,76,Experienced,2356,0,6881.16
Calm,Medium,Medium,98,Experienced,312,0,1122.16
Calm,Medium,Low,92,Experienced,1223,0,3501.79
Moderate,Heavy,Medium,100,Experienced,3270,0,9017.24
Moderate,Medium,Low,98,Low,2142,0,7057.36
Rough,Heavy,Low,94,Experienced,3423,1,25563.09
Moderate,Light,Low,75,Low,1532,0,5275.22
Moderate,Medium,High,83,Experienced,1514,0,4052.84
Calm,Light,Low,77,Experienced,3422,0,11916.81
Calm,Light,Medium,96,Low,952,0,2784.55
Moderate,Heavy,Low,91,Experienced,2003,0,5008.23
Moderate,Heavy,Medium,71,Low,920,1,20596.22
Rough,Light,Low,86,Low,2262,0,8822.76
Calm,Medium,High,74,Experienced,1945,0,7393.01
Calm,Heavy,High,83,Low,2543,1,21801.6
Moderate,Light,Low,94,Experienced,716,0,2625.97
Calm,Medium,High,93,Low,963,0,3286.58
Rough,Heavy,High,99,Experienced,2078,1,18018.63
Rough,Medium,High,98,Experienced,1679,1,24440.16
Calm,Light,High,89,Experienced,447,0,1574.42
Moderate,Medium,Low,90,Experienced,2345,0,6085.99
Moderate,Heavy,Medium,98,Experienced,3348,0,10359.95
Calm,Medium,Low,90,Low,1688,0,6660.39
Rough,Light,Low,91,Low,2711,0,8969.27
Moderate,Heavy,High,72,Experienced,2025,1,14304.59
Moderate,Light,Low,74,Low,701,0,1878.96
Calm,Heavy,Medium,85,Experienced,2953,0,10498.78
Rough,Light,High,87,Low,1815,1,19761.38
Calm,Heavy,High,95,Experienced,2331,0,7134.98
Calm,Medium,High,86,Experienced,528,0,2073.15
Rough,Medium,Low,80,Low,1898,1,24236.68
Calm,Light,Low,86,Experienced,2884,0,8523.91
Calm,Medium,Medium,85,Low,567,0,2200.87
Rough,Heavy,Low,95,Experienced,1728,0,5151.86
Rough,Heavy,Low,92,Low,2116,1,17501.13
Moderate,Medium,Low,71,Experienced,1334,0,4403.98
Moderate,Medium,High,73,Experienced,1643,1,16889.98
Calm,Heavy,Medium,90,Low,425,0,1128.26
Calm,Heavy,Low,76,Low,2653,1,22208.33
Calm,Medium,Medium,71,Experienced,2025,0,7477.53
Moderate,Medium,Low,99,Low,1412,0,3913.89
Moderate,Medium,Low,75,Experienced,2975,0,10614.84
Moderate,Medium,High,86,Experienced,1675,0,5154.71
Moderate,Light,Medium,76,Experienced,988,0,3066.2
Calm,Medium,High,94,Experienced,3385,0,12439.66
Calm,Medium,Low,74,Experienced,1580,0,6231.8
Calm,Heavy,High,74,Experienced,1532,1,16456.12
Moderate,Light,Medium,89,Experienced,580,0,1815.95
Calm,Medium,Medium,85,Low,742,0,2390.29
Rough,Medium,Medium,88,Low,2163,1,19821.0
Calm,Medium,High,78,Experienced,1136,0,3458.87
Calm,Light,Medium,74,Experienced,688,0,1773.94
Calm,Medium,Medium,77,Low,916,0,3231.93
Moderate,Medium,High,78,Experienced,446,0,1406.83
Moderate,Medium,High,74,Experienced,820,0,2289.6
Calm,Medium,Medium,79,Low,929,0,3459.64
Calm,Medium,Medium,94,Experienced,2781,0,10300.38
Moderate,Heavy,Low,71,Low,2491,1,22640.09
Calm,Light,Low,78,Experienced,588,0,1733.23
Moderate,Heavy,Medium,80,Low,1709,1,20676.79
Moderate,Medium,High,73,Experienced,313,0,917.79
Calm,Light,High,91,Low,556,0,1586.83
Calm,Light,Low,91,Experienced,2021,0,7267.06
Rough,Medium,Medium,91,Experienced,1723,0,4411.72
Calm,Heavy,Low,71,Low,1530,0,4042.49
Calm,Heavy,High,92,Experienced,1157,0,2904.28
Moderate,Heavy,High,98,Experienced,3290,1,17387.36
Rough,Medium,Medium,75,Low,1495,1,17213.64
Rough,Medium,High,96,Experienced,763,0,3047.2
Moderate,Light,Medium,83,Low,569,0,1669.0
Calm,Medium,Medium,70,Experienced,1544,0,4205.7
Calm,Medium,Low,87,Experienced,2970,0,8498.64
Moderate,Light,Medium,76,Experienced,1506,0,5879.71
Moderate,Light,Medium,70,Low,371,0,1216.97
Calm,Medium,Medium,100,Experienced,1606,0,4893.85
Rough,Heavy,Low,70,Experienced,2421,1,33666.85
Calm,Heavy,High,70,Experienced,2702,1,23813.04
Calm,Heavy,Low,93,Experienced,2050,0,6155.15
Calm,Medium,Medium,73,Experienced,796,0,2237.5
Calm,Medium,Medium,73,Low,1287,0,3946.84
Calm,Medium,Medium,98,Low,2927,0,8707.9
Calm,Heavy,Medium,87,Low,1209,0,4250.79
Calm,Light,Low,96,Low,672,0,1971.9
Moderate,Medium,Low,80,Experienced,661,0,2224.79
Moderate,Heavy,Medium,96,Low,2440,1,28094.75
Moderate,Medium,Medium,70,Low,1644,1,25854.18
Rough,Medium,Low,97,Low,623,0,1938.22
Calm,Medium,Medium,79,Low,2731,1,30831.52
Calm,Light,Medium,78,Low,874,0,2679.58
Rough,Medium,Medium,92,Low,1035,1,17502.3
Calm,Medium,High,73,Experienced,3084,1,19824.39
Rough,Light,Low,97,Experienced,2693,0,7245.65
Calm,Light,Low,75,Low,3474,0,8990.03
Rough,Heavy,High,99,Experienced,1515,1,18472.91
Calm,Light,Medium,85,Low,1995,0,5459.3
Rough,Medium,Medium,71,Low,2207,1,17290.26
Moderate,Light,High,92,Low,1018,0,3706.68
Rough,Heavy,High,87,Experienced,1080,1,15107.5
Calm,Light,High,79,Experienced,1319,0,4401.13
Moderate,Medium,Medium,93,Low,1703,0,5226.83
Rough,Heavy,Medium,93,Low,1726,1,22106.93
Moderate,Heavy,Medium,86,Experienced,963,0,3220.51
Moderate,Light,Low,82,Low,2072,0,6153.95
Moderate,Heavy,Medium,93,Low,2947,1,19557.02
Calm,Medium,Low,87,Experienced,310,0,1116.03
Moderate,Medium,High,91,Experienced,2534,0,9646.72
Moderate,Light,Medium,82,Experienced,3073,0,8570.21
Rough,Light,Medium,86,Experienced,1338,0,3540.92
Calm,Heavy,Low,74,Low,3125,1,32531.82
Calm,Medium,Low,80,Low,2758,0,8342.52
Rough,Medium,Low,76,Experienced,3303,1,35414.03
Rough,Heavy,Medium,98,Low,884,1,24644.3
Calm,Heavy,Low,79,Experienced,1375,0,3696.97
Moderate,Light,Medium,86,Experienced,3399,0,11502.21
Calm,Medium,High,84,Experienced,2924,0,9613.27
Calm,Light,High,87,Low,3388,1,19854.05
Calm,Heavy,Medium,92,Experienced,1674,0,5319.64
Calm,Medium,Low,91,Experienced,1751,0,6470.68
Moderate,Heavy,High,88,Experienced,2154,1,28602.55
Calm,Light,High,99,Low,2089,0,5526.19
Rough,Light,Low,95,Low,3336,1,29360.72
Rough,Light,Medium,71,Low,1042,1,23371.61
Moderate,Light,Low,95,Low,2076,0,7658.48
Moderate,Light,High,73,Low,3475,1,25267.0
Calm,Heavy,High,72,Experienced,503,0,1372.68
Moderate,Light,Low,76,Experienced,1376,0,4905.8
